ﻢﻋﻼﺟ ﻼﻗﺪﻤﻨﻳ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻉﺮﺷ ﺲﻧﻭﺎﺗ,,
"ﺖﻘﻨﻳ ﺍﻸﻃﺭﺎﻓ ﻼﺼﻧﺎﻌﻳﺓ
ﻭﻻﺮﺗﺎﻜﻴﺑ ﺎﻤﻠﻗﻮﻣﺓ","ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻉﺮﺷ ﺲﻧﻭﺎﺗ,,
ﺖﻘﻨﻳ ﻎﺴﻴﻟ ﻚﯩﻟ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻉﺮﺷ ﺲﻧﻭﺎﺗ,,
ﻒﻨﻳ ﻢﺳﺅﻮﻟ,-,-,"1,400",627
ﻒﻨﻳ ﺖﺧﺪﻳﺭ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
ﻢﺳﺎﻋﺩ ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
ﺖﻘﻨﻳ ﺄﺸﻋﺓ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
ﺖﻘﻨﻳ ﻻﺮﻨﻨﻳ ﺎﻤﻠﻐﻧﺎﻄﻴﻴﺳ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻻﺮﻨﻨﻳ ﺎﻤﻠﻐﻧﺎﻄﻴﻴﺳ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﻄﺑ ﻼﻧﻭﻮﻳ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
ﻢﻋﻼﺟ ﻮﻈﻴﻔﻳ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﺦﻤﺳ ﺲﻧﻭﺎﺗ,,
