,"ﻼﻤﻋﺎﻴﻳﺭ
Standards","ﻻﺩﺮﺟﺓ
ﻼﻨﻫﺎﺌﻳﺓ
Final
Grade",,,"ﺩﺮﺟﺓ ﻼﺘﻘﻴﻴﻣ
Evaluation Grade"
,,,"ﻼﺸﻫﺭ ﻻﺭﺎﺒﻋ
4th Month","ﻼﺸﻫﺭ ﻼﺧﺎﻤﺳ
5th Month","ﻼﺸﻫﺭ ﻼﺳﺍﺪﺳ
6th Month"
1,"ﺍﻼﻨﻀﺑﺎﻃ ﻭﺍﻼﻠﺗﺯﺎﻣ ﻻﻮﻈﻴﻔﻳ )ﺱﺎﻋﺎﺗ ﻼﻌﻤﻟ(
Discipline & career commitment )working hours(",% 15,,,
2,"ﺄﺴﻟﻮﺑ ﻼﺗﻭﺎﺼﻟ ﻢﻋ ﻼﻤﺳﺅﻮﻠﻴﻧ
Communication style with officials",% 15,,,
3,"ﻼﺘﻋﺍﻮﻧ ﻢﻋ ﺰﻣﺍﺀ ﻼﻌﻤﻟ
Cooperation with colleagues",% 15,,,
4,"ﻼﻗﺩﺭﺓ ﻊﻠﯨ ﺍﻼﺴﺘﻴﻋﺎﺑ ﻭﻼﺘﺤﺼﻴﻟ
Ability to absorb and collect",% 20,,,
5,"ﻼﻤﻈﻫﺭ ﻼﻋﺎﻣ ﻭﻼﺴﻟﻮﻛ ﻼﺸﺨﺼﻳ
Overall appearance and personal conduct",% 15,,,
6,"ﻡﺪﯨ ﻡﺎﺌﻤﺘﻫ ﻞﻟﻮﻈﻴﻓﺓ
Adaptability for the job",% 20,,,
,"ﻼﻤﺠﻣﻮﻋ
Total",% 100,,,
,,supervisor.s Name – ﺎﺴﻣ ﻼﻤﺳﺅﻮﻟ ﻼﻤﺑﺎﺷﺭ,,,
,,Supervisor Signature – ﺕﻮﻘﻴﻋ ﻼﻤﺳﺅﻮﻟ ﻼﻤﺑﺎﺷﺭ,,,
,,Date – ﻼﺗﺍﺮﻴﺧ,.…/.…/…,.…/.…/…,.…/.…/…
