ﻢﺳﺎﻋﺩ ﻒﻨﻳ ﺏ،ﺝ,-,-,"1,000",
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻒﻨﻳ ﺖﺠﻤﻴﻟ",ﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻲﻓ ﻼﺘﺠﻤﻴﻟ,ﺲﻧﺓ,,
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻢﺳﺎﻋﺩ ﻂﺒﻴﺑ ﺍﻸﺴﻧﺎﻧ","ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ ﻲﻓ
ﺝﺭﺎﺣﺓ ﺍﻸﺴﻧﺎﻧ",ﺲﻨﺘﻨﻳ,,
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻢﻣﺮﺿ ﻡﺮﺨﺻ",ﻢﻣﺮﺿ ﻡﺮﺨﺻ,ﺲﻨﺘﻨﻳ,,
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻒﻨﻳ ﺲﺤﺑ ﺪﻣ",ﺪﺒﻟﻮﻣ ﻊﻟﻮﻣ ﺺﺤﻳﺓ ﻢﻟﺩﺓ ﺲﻧﺓ,ﺪﺒﻟﻮﻣ ﺲﻧﺓ,,
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺝ(
ﻒﻨﻳ ﺲﺤﺑ ﺪﻣ","ﺶﻫﺍﺩﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ ﺲﺗﺓ
ﺶﻫﻭﺭ ﻲﻓ ﺖﺨﺼﺻ ﺎﻤﻠﺨﺗﺮﺑﺎﺗ
ﻼﻄﺒﻳﺓ + ﺕﺩﺮﻴﺑ ﻢﻌﺘﻣﺩ ﻲﻓ
ﻢﺟﻻ ﺲﺤﺑ ﻻﺪﻣ",ﺕﺩﺮﻴﺑ,,
"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺝ(
ﻒﻨﻳ ﺕﺭﺎﻜﻴﺑ ﻻﻮﺠﻫ","ﺕﺩﺮﻴﺑ ﻼﺑﻭﺭﺩ ﺃﻭ ﺶﻫﺍﺩﺓ
ﻢﻌﺘﻣﺩﺓ ﻲﻓ ﻦﻔﺳ ﺎﻤﻠﺟﻻ
)ﺏﺩﻮﻧ ﻡﺆﻬﻟ(",ﺲﻨﺘﻨﻳ,,
ﻢﻋﺍﻮﻧ ﻢﺗﺮﻴﺿ,-,-,"1,000",
ﻒﻨﻳ ﻼﺘﺠﺒﻴﺳ,"ﺶﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ + ﺩﻭﺭﺓ
ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻦﻔﺳ",ﺲﻨﺘﻨﻳ,,
ﻢﺳﺎﻋﺩ ﻒﻨﻳ ﺖﻌﻘﻴﻣ,"ﺶﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ + ﺩﻭﺭﺓ
ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﺲﻨﺘﻨﻳ,,
ﻢﻋﺍﻮﻧ ﻒﻨﻳ ﻢﻌﻤﻟ ﺄﺴﻧﺎﻧ,"ﺶﻫﺍﺩﺓ ﺙﺎﻧﻮﻳﺓ + ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ
ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﺲﻨﺘﻨﻳ,,
ﻒﻨﻳ ﺖﺨﻄﻴﻃ ﻚﻫﺮﺑﺎﺌﻳﺓ ﻻﺪﻣﺎﻏ,"ﺶﻫﺍﺩﺓ ﺙﺎﻧﻮﻳﺓ + ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ
ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﺲﻨﺘﻨﻳ,,
ﻢﺴﻌﻓ ﻢﺗﻮﺴﻃ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ 8
ﺄﺳﺎﺒﻴﻋ + ﺶﻫﺍﺩﺓ ﺈﻌﺗﺎﻣﺩ ﺩﻮﻠﻳﺓ",ﺲﻨﺘﻨﻳ,,
ﻢﺴﻌﻓ ﻢﺒﺗﺪﺋ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ 4
ﺄﺳﺎﺒﻴﻋ + ﺶﻫﺍﺩﺓ ﺈﻌﺗﺎﻣﺩ ﺩﻮﻠﻳﺓ",ﺲﻨﺘﻨﻳ,,
ﻒﻨﻳ ﻍﺮﻓ ﻼﻗﻭﻼﺑ,ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ,ﺲﻨﺘﻨﻳ,,
ﻒﻨﻳ ﻎﺴﻴﻟ ﻚﯩﻟ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ ﺃﻭ ﻢﻣﺮﺿ ﻡﺮﺨﺻ",ﺲﻨﺘﻨﻳ,,
