مساعد فني ب،ج,-,-,"1,000",
"مساعد فني )ب(
فني تجميل",دبلوم سنة يف التجميل,سنة,,
"مساعد فني )ب(
مساعد طبيب ا ألسنان","بكالوريوس أ و دكتوراه يف
جراحة ا ألسنان",سنتني,,
"مساعد فني )ب(
ممرض مرخص",ممرض مرخص,سنتني,,
"مساعد فني )ب(
فني سحب دم",دبلوم علوم صحية ملدة سنة,دبلوم سنة,,
"مساعد فني )ج(
فني سحب دم","شها دة معتمدة ملدة ستة
شهور يف تخصص املختربات
الطبية + تدريب معتمد يف
مجال سحب الدم",تدريب,,
"مساعد فني )ج(
فني تراكيب الوجه","تدريب البورد أ و شها دة
معتمدة يف نفس املجال
)بدون مؤهل(",سنتني,,
معا ون متريض,-,-,"1,000",
فني التجبيس,"شها دة الثانوية العامة + دورة
تدريبية يف نفس",سنتني,,
مساعد فني تعقيم,"شها دة الثانوية العامة + دورة
تدريبية يف نفس التخصص",سنتني,,
معا ون فني معمل أسنان,"شها دة ثانوية + دورة تدريبية
يف نفس التخصص",سنتني,,
فني تخطيط كهربائية الدماغ,"شها دة ثانوية + دورة تدريبية
يف نفس التخصص",سنتني,,
مسعف متوسط,"دورة تدريبية معتمدة ملدة 8
أسابيع + شها دة إعتامد دولية",سنتني,,
مسعف مبتدئ,"دورة تدريبية معتمدة ملدة 4
أسابيع + شها دة إعتامد دولية",سنتني,,
فني غرف القوالب,دورة تدريبية معتمدة,سنتني,,
فني غسيل كىل,"دورة تدريبية يف مجال
التخصص أ و ممرض مرخص",سنتني,,
