,"المعايير
Standards","الدرجة
النهائية
Final
Grade",,,"درجة التقييم
Evaluation Grade"
,,,"الشهر الرابع
4th Month","الشهر الخامس
5th Month","الشهر السا دس
6th Month"
1,"ا النضباط وا اللتزام الوظيفي )ساعات العمل(
Discipline & career commitment )working hours(",% 15,,,
2,"أسلوب التواصل مع المسؤولين
Communication style with officials",% 15,,,
3,"التعا ون مع زماء العمل
Cooperation with colleagues",% 15,,,
4,"القدرة على ا الستيعاب والتحصيل
Ability to absorb and collect",% 20,,,
5,"المظهر العام والسلوك الشخصي
Overall appearance and personal conduct",% 15,,,
6,"مدى مائمته للوظيفة
Adaptability for the job",% 20,,,
,"المجموع
Total",% 100,,,
,,supervisor.s Name – اسم المسؤول المباشر,,,
,,Supervisor Signature – توقيع المسؤول المباشر,,,
,,Date – التا ريخ,.…/.…/…,.…/.…/…,.…/.…/…
