,,,املجموعة الثانية
,,,ب. مخالفات تتعلق بنظام العمل
نوع املخالفة,,,درجات الجزاء
,أ ول مرة,ثاني مرة,ثالث مرة
1 – عدم ا اللتزام بالتسلسل ا إلدا ري.*,إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من
الراتب ا ألسا�سي"
"2- عــدم ا إلخطــا ر عــن تغييــر الحالــة
ا الجتماعيــة فــي ميعــا د غايتــه شــهر مــن تا ريــخ
التغييــر.*",إنذا ر كتابي,خصم يوم من الراتب ا ألسا�سي,"خصم ثالثة أيام من
الراتب ا ألسا�سي"
"3- الســماح لغيــر املخوليــن بالجهــة الحكوميــة
بالدخــول فــي مبانيهــا أ و وحداتهــا فــي غيــر املــكان
املعــد لذلــك أ و امليعــا د املحــدد بــدون إ ذن.",إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من الراتب
ا ألسا�سي"
"4- عــدم حفــظ النقــود و ا ألوراق واملســتندات
والســجالت داخــل املكاتــب أ و الخزائــن أ و
الدواليــب املخصصــة لذلــك قبــل ا النصــراف.",إنذا ر كتابي,"خصم ثالثة أيام من الراتب
ا ألسا�سي","خصم سبعة أيام من الراتب
ا ألسا�سي"
5- وجود عجز في العهدة بدون قصد.,إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من
الراتب ا ألسا�سي"
,,,مع توريد قيمة العجز في جميع ا ألحوال
"6- رفــض املوظــف - بــدون عــذر مقبــول
- التعليمــات الخاصــة بإنجــا ز العمــل فــي غيــر
أ وقــات الــدوام الرســمي.","خصم يومين من
الراتب ا ألسا�سي","خصم ثالثة أيام من الراتب
ا ألسا�سي","خصم خمسة أيام من
الراتب ا ألسا�سي"
7- رفض حضور ساعات العمل ا إلضافية.,إنذا ر كتابي,خصم خمسة أيام من الراتب,"إحالة إلى لجنة ا النضباط
الوظيفي"
"8- عدم املبا درة في خدمة العمالء أ و ا إلهمال
فــي ذلك.","خصم خمسة أيام من
الراتب ا ألسا�سي","خصم عشرة أيام من الراتب
ا ألسا�سي","ً
خصم خمسة عشر يوما
من الراتب ا ألسا�سي"
"9- العمــل لــدى الغيــر بأجــر أ و بــدون أجــر بعــد
أ وقــات الــدوام الرســمي دون الحصــول علــى
إ ذن كتابــي.","خصم ثالثة أيام من
الراتب ا ألسا�سي",,إحالة إلى لجنة ا النضباط الوظيفي
"10- ا الشــتغال فــي أ وقــات العمــل بغيــر أعمــال
الجهــة الحكوميــة.","خصم يوم من الراتب
ا ألساسيي","خصم خمسة أيام من الراتب
ا ألساسيي","خصم عشرة أيام من الراتب
ا ألسا�سي"
"11- مخالفــات املــرور عنــد قيــا دة العربــات
الحكوميــة أ و التــورط فــي حــوا دث مروريــة.",إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","ً
خصم خمسة عشر يوما من
الراتب ا ألسا�سي"
,,,مع دفع املخالفات
"12- التســبب فــي حــوا دث إصابــة عمــل
لآلخريــن.",إنذا ر كتابي,"خصم عشرة أيام من الراتب
ا ألسا�سي","إحالة إلى لجنة ا النضباط
الوظيفي"
"13- اســتخدام البرامــج غيــر املرخصــة
وتفعيلهــا فــي ا ألجهــزة ا إللكترونيــة للجهــة
ً
الحكوميــة ســواء مــن الشــبكة العامليــة
)ا النترنــت( أ و غيــره.",إنذا ر كتابي,"خصم عشرة أيام من الراتب
ا ألسا�سي","إحالة إلى لجنة ا النضباط
الوظيفي"
"14- إســاءة اســتخدام البريــد ا إللكترونــي
الخــاص بجهــة العمــل.",إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","إحالة إلى لجنة ا النضباط
الوظيفي"
"15- إ دخــال ا ألجهــزة ا إللكترونيــة وتوصيلهــا
بالشــبكة دون موافقــة جهــة العمــل.",إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من الراتب
ا ألسا�سي"
"16- اســتخدام املعلومــات الخاصــة للجهــات
الحكوميــة أ و الزمــالء للمصلحــة الشــخصية
أ و ملصلحــة طــرف آخــر.",إنذا ر كتابي,"خصم خمسة أيام من الراتب
ا ألسا�سي","خصم عشرة أيام من الراتب
ا ألسا�سي"
"17- الدخــول فــي أماكــن غيــر مصــرح بهــا فــي
جهــة العمــل.",إنذا ر كتابي,,خصم خمسة أيام من الراتب ا ألسا�سي
