1. ما هي ا ألسباب الرئيسية في تركك العمل؟,,,,,ذكر تفاصيل السبب :-
"وظيفة أفضل
استكمال الدراسة
بيئة صحية
ظروف عائلية خاصة
سفر
أخرى:______________________________
____________",,,,,".....................................................................................................
.....................................................................................................
.....................................................................................................
.....................................................................................................
.....................................................................................................
....................................................................................................."
,2. أثا رت أي من العناصر أ دناه في قرا ر استقالتك؟,,نــعم,,ال
,ضعف الراتب,,,,
,سوء ا إلشراف,,,,
,موقع العمل,,,,
,الوظيفة,,,,
,املعاملة الغير عا دلة من قبل الرؤساء,,,,
,زمالء العمل غير املتعا ونين,,,,
,قلة ا المتيا زات,,,,
,تأخر الترقية,,,,
,ا إلجا زات و العطالت,,,,
,أخرى: __________________________________,,,,
,3. في هذا الجزء يرجى تقييم العناصر التالية :,"أ وافق
بشدة",أ وافق,ال أ وافق,أعا رض بشدة
,"يعلمني مسؤولي املباشر عن ا ألعمال التي أقوم بها بشكل صحيح
أ وال با ول",,,,
,"أشعر بحرية إبداء الرأيي ملسؤولي في ا ألمور التي تساهم في تطوير
القسم/ ا إلدا رة",,,,
,تم ايضاح مهامي و مسؤولياتي الوظيفية بشكل تام,,,,
