,"تلقيت التدريب املناسب الذي ساهم في أ داء وظيفتي بشكل
فعال",,,,
,,,,,"4. إ ذا كان لدي سؤال يحيرني, أستطيع أن أناقشه مع ) يمكنك أنا ترتب العناصر حسب ا ألفضلية 1 – 3 ("
,مسؤولي املباشر,,,,
,ا إلدا رة العليا,,,,
,إ دا رة الخدمات املساندة,,,,
,أخرى : __________________________________,,,,
"5. كيف يمكن أن تقييم مشرفك في النواحي
التالية:",أبدا,"أ وافق
بشدة",أ وافق,ال أ وافق,أعا رض بشدة
معاملتي بعدل و مسا واتي مع ا الخرين,,,,,
يساهم في تدريبي و تطويري,,,,,
يقوم بدور قيا دي فعال,,,,,
يشجع روح التعا ون و العمل كفريق,,,,,
يستمع إلى ا القتراحات املقدمة من موظفيه,,,,,
إطالع املوظفين على شؤون العمل,,,,,
يساهم في معالجة املشاكل و املعوقات في الوقت املناسب,,,,,
"6. كيف تقيم الجوانب التالية خالل
فترة عملك في الجهة الحكومية:",ممتا ز,جيد جدا,جيد,مقبول,ضعيف
خطوات النوظيف,,,,,
البرنامج التعريفي مع املوظفين الجدد,,,,,
فرص التدريب,,,,,
معاملة املوظفين بشكل عا دل,,,,,
تقدير ا ألعمال التي كان لها صدى للقسم/لإلدا رة,,,,,
التعا ون بين املوظفين و املدراء,,,,,
