0,1,2,3,4,5
"ﺩﺮﺟﺓ ﻼﺘﻘﻴﻴﻣ
Evaluation Grade",,,"ﻻﺩﺮﺟﺓ ﻼﻨﻫﺎﺌﻳﺓ
Final Grade","ﻼﻤﻋﺎﻴﻳﺭ
Standards",
"ﻼﺸﻫﺭ ﻼﺛﻼﺛ
3rd Month","ﻼﺸﻫﺭ ﻼﺛﺎﻨﻳ
2nd Month","ﻼﺸﻫﺭ
ﺍﻷﻮﻟ
1st 
Month",,,
,,,% 15,"ﺍﻼﻨﻀﺑﺎﻃ ﻭﺍﻼﻠﺗﺯﺎﻣ ﻻﻮﻈﻴﻔﻳ )ﺱﺎﻋﺎﺗ ﻼﻌﻤﻟ(
Discipline & career commitment )working 
)hours",1
,,,% 15,"ﺄﺴﻟﻮﺑ ﻼﺗﻭﺎﺼﻟ ﻢﻋ ﻼﻤﺳﺅﻮﻠﻴﻧ
Communication style with officials",2
,,,% 15,"ﻼﺘﻋﺍﻮﻧ ﻢﻋ ﺰﻣﺍﺀ ﻼﻌﻤﻟ
Cooperation with colleagues",3
,,,% 20,"ﻼﻗﺩﺭﺓ ﻊﻠﯨ ﺍﻼﺴﺘﻴﻋﺎﺑ ﻭﻼﺘﺤﺼﻴﻟ
Ability to absorb and collect",4
,,,% 15,"ﻼﻤﻈﻫﺭ ﻼﻋﺎﻣ ﻭﻼﺴﻟﻮﻛ ﻼﺸﺨﺼﻳ
Overall appearance and personal conduct",5
,,,% 20,"ﻡﺪﯨ ﻡﺎﺌﻤﺘﻫ ﻞﻟﻮﻈﻴﻓﺓ
Adaptability for the job",6
,,,% 100,"ﻼﻤﺠﻣﻮﻋ
Total",
,,,supervisor.s Name – ﺎﺴﻣ ﻼﻤﺳﺅﻮﻟ ﻼﻤﺑﺎﺷﺭ,,
,,,Supervisor Signature – ﺕﻮﻘﻴﻋ ﻼﻤﺳﺅﻮﻟ ﻼﻤﺑﺎﺷﺭ,,
.…/.…/…,.…/.…/…,,Date – ﻼﺗﺍﺮﻴﺧ,,
