0,1,2,3,4
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﺖﻏﺬﻳﺓ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﻒﻨﻳ ﺺﺣﺓ ﺍﻸﺴﻧﺎﻧ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﻒﻨﻳ ﻢﻌﻤﻟ ﺍﻸﺴﻧﺎﻧ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﻼﺘﺸﺨﻴﺻ ﻼﻜﻫﺭﻮﻌﺼﺒﻳ
ﺎﻤﻠﺴﻤﯨ ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ 
ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﺖﺨﻄﻴﻃ ﻻﺪﻣﺎﻏ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﺖﺨﻄﻴﻃ ﻼﻌﻇﻼﺗ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﻒﺣﻮﺻﺎﺗ ﺍﻼﺴﺘﺟﺎﺑﺎﺗ
ﺎﻤﻠﺛﺍﺭﺓ ﺎﻤﻠﺴﻤﯨ ﻼﺳﺎﺒﻗ)ﻒﻨﻳ 
ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﺖﻘﻨﻳ ﺩﺭﺎﺳﺓ ﺎﻌﺗﻼﻟ ﻼﻧﻮﻣ
ﺎﻤﻠﺴﻤﯨ ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ 
ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﺶﻫﺍﺩﺓ 
ﺍﻺﻌﺘﻣﺍﺩ ﻻﺩﻮﻠﻳﺓ","ﻢﺴﻌﻓ ﻢﺘﻗﺪﻣ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ","ﻒﻨﻳ ﺯﺭﺎﻋﺓ ﺶﻋﺭ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
