0,1,2,3,4
"3,575","6,600",-,-,ﻂﺒﻴﺑ ﺎﺨﺻﺎﺌﻳ ﺏ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ,ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﺖﻏﺬﻳﺓ ﺱﺮﻳﺮﻳﺓ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻡﺮﺷﺩ ﺍﻸﻣﺭﺎﺿ ﻻﻭﺭﺎﺜﻳﺓ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺻﻮﻳﺭ ﻼﻄﺒﻳ + ﺩﺭﺎﺳﺎﺗ 
ﻊﻠﻳﺍ ﻡﺩﺓ ﺲﻧﺓ ﻒﻳ ﺖﺨﺼﺻ 
ﻻﺮﻨﻴﻧ ﺎﻤﻠﻐﻧﺎﻄﻳ�ﺲﻳ",ﺖﻘﻨﻳ ﻻﺮﻨﻴﻧ ﺎﻤﻠﻐﻧﺎﻄﻳ�ﺲﻳ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻉﻼﻣ ﺱﺮﻳﺮﻳ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﻼﻔﻳﺰﻳﺍﺀ ﻼﻄﺒﻳﺓ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ  ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ 
)ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﺥﺪﻣﺓ ﺈﺠﺘﻣﺎﻌﻳﺓ
,,ﺲﻧﺓ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﺎﻤﻠﺟﻻ ﻼﻄﺒﻳ
+ ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ",ﺖﻘﻨﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ
"1,705","3,600",-,-,ﻒﻨﻳ ﻂﺑ ﺄﺨﺻﺎﺌﻳ ﺃ
605,"2,600",-,-,ﻒﻨﻳ ﻂﺑ ﺄﺨﺻﺎﺌﻳ ﺏ
"2,145","4,200",-,-,ﻂﺒﻴﺑ ﻢﻣﺍﺮﺳ ﻉﺎﻣ
"1,256","2,600",-,-,ﻂﺒﻴﺑ ﻢﺒﺗﺪﺋ
"1,045","1,800",-,-,ﻂﺒﻴﺑ ﺎﻤﺘﻳﺍﺯ
"2,475","2,200",-,-,ﻒﻨﻳ ﻂﺑ ﻢﻣﺍﺮﺳ ﻢﺒﺗﺪﺋ
