0,1,2,3,4
,"1,000",-,-,ﻢﺳﺎﻋﺩ ﻒﻨﻳ ﺏ،ﺝ
,,ﺲﻧﺓ,ﺪﺒﻟﻮﻣ ﺲﻧﺓ ﻲﻓ ﻼﺘﺠﻤﻴﻟ,"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻒﻨﻳ ﺖﺠﻤﻴﻟ"
,,ﺲﻨﺘﻨﻳ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ ﻲﻓ
ﺝﺭﺎﺣﺓ ﺍﻸﺴﻧﺎﻧ","ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻢﺳﺎﻋﺩ ﻂﺒﻴﺑ ﺍﻸﺴﻧﺎﻧ"
,,ﺲﻨﺘﻨﻳ,ﻢﻣﺮﺿ ﻡﺮﺨﺻ,"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻢﻣﺮﺿ ﻡﺮﺨﺻ"
,,ﺪﺒﻟﻮﻣ ﺲﻧﺓ,ﺪﺒﻟﻮﻣ ﻊﻟﻮﻣ ﺺﺤﻳﺓ ﻢﻟﺩﺓ ﺲﻧﺓ,"ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺏ(
ﻒﻨﻳ ﺲﺤﺑ ﺪﻣ"
,,ﺕﺩﺮﻴﺑ,"ﺶﻫﺍﺩﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ ﺲﺗﺓ
ﺶﻫﻭﺭ ﻲﻓ ﺖﺨﺼﺻ ﺎﻤﻠﺨﺗﺮﺑﺎﺗ 
ﻼﻄﺒﻳﺓ + ﺕﺩﺮﻴﺑ ﻢﻌﺘﻣﺩ ﻲﻓ 
ﻢﺟﻻ ﺲﺤﺑ ﻻﺪﻣ","ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺝ(
ﻒﻨﻳ ﺲﺤﺑ ﺪﻣ"
,,ﺲﻨﺘﻨﻳ,"ﺕﺩﺮﻴﺑ ﻼﺑﻭﺭﺩ ﺃﻭ ﺶﻫﺍﺩﺓ
ﻢﻌﺘﻣﺩﺓ ﻲﻓ ﻦﻔﺳ ﺎﻤﻠﺟﻻ 
)ﺏﺩﻮﻧ ﻡﺆﻬﻟ(","ﻢﺳﺎﻋﺩ ﻒﻨﻳ )ﺝ(
ﻒﻨﻳ ﺕﺭﺎﻜﻴﺑ ﻻﻮﺠﻫ"
,"1,000",-,-,ﻢﻋﺍﻮﻧ ﻢﺗﺮﻴﺿ
,,ﺲﻨﺘﻨﻳ,"ﺶﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ + ﺩﻭﺭﺓ
ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻦﻔﺳ",ﻒﻨﻳ ﻼﺘﺠﺒﻴﺳ
,,ﺲﻨﺘﻨﻳ,"ﺶﻫﺍﺩﺓ ﻼﺛﺎﻧﻮﻳﺓ ﻼﻋﺎﻣﺓ + ﺩﻭﺭﺓ
ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﻢﺳﺎﻋﺩ ﻒﻨﻳ ﺖﻌﻘﻴﻣ
,,ﺲﻨﺘﻨﻳ,"ﺶﻫﺍﺩﺓ ﺙﺎﻧﻮﻳﺓ + ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ
ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﻢﻋﺍﻮﻧ ﻒﻨﻳ ﻢﻌﻤﻟ ﺄﺴﻧﺎﻧ
,,ﺲﻨﺘﻨﻳ,"ﺶﻫﺍﺩﺓ ﺙﺎﻧﻮﻳﺓ + ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ
ﻲﻓ ﻦﻔﺳ ﻼﺘﺨﺼﺻ",ﻒﻨﻳ ﺖﺨﻄﻴﻃ ﻚﻫﺮﺑﺎﺌﻳﺓ ﻻﺪﻣﺎﻏ
,,ﺲﻨﺘﻨﻳ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ 8
ﺄﺳﺎﺒﻴﻋ + ﺶﻫﺍﺩﺓ ﺈﻌﺗﺎﻣﺩ ﺩﻮﻠﻳﺓ",ﻢﺴﻌﻓ ﻢﺗﻮﺴﻃ
,,ﺲﻨﺘﻨﻳ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ ﻢﻟﺩﺓ 4
ﺄﺳﺎﺒﻴﻋ + ﺶﻫﺍﺩﺓ ﺈﻌﺗﺎﻣﺩ ﺩﻮﻠﻳﺓ",ﻢﺴﻌﻓ ﻢﺒﺗﺪﺋ
,,ﺲﻨﺘﻨﻳ,ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻢﻌﺘﻣﺩﺓ,ﻒﻨﻳ ﻍﺮﻓ ﻼﻗﻭﻼﺑ
,,ﺲﻨﺘﻨﻳ,"ﺩﻭﺭﺓ ﺕﺩﺮﻴﺒﻳﺓ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ ﺃﻭ ﻢﻣﺮﺿ ﻡﺮﺨﺻ",ﻒﻨﻳ ﻎﺴﻴﻟ ﻚﯩﻟ
