0,1,2,3,4
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﻗﻮﻣ ﺐﺻﺭ  ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻒﻨﻳ ﺐﺻﺮﻳﺎﺗ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﺺﻳﺪﻠﻳ ﺎﻤﻠﺴﻤﯨ ﻼﺳﺎﺒﻗ)ﻒﻨﻳ
ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﻋﻼﺟ ﻂﺒﻴﻌﻳ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﻋﻼﺟ ﺮﻳﺍ�ﺲﻳ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﻋﻼﺟ ﻕﺪﻤﻴﻧ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﺖﻘﻨﻳ ﺍﻸﻃﺭﺎﻓ ﻼﺼﻧﺎﻌﻳﺓ
ﻭﻼﺗﺭﺎﻜﻴﺑ ﺎﻤﻠﻗﻮﻣﺓ ﺎﻤﻠﺴﻤﯨ 
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﺖﻘﻨﻳ ﻼﻘﻳﺎﺳ ﻼﻨﻔﻴﺳ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﺳﺎﻋﺩ ﺎﺨﺻﺎﻴﺋ ﻊﻠﻣ ﻼﻨﻔﺳ
ﻞﻠﻣﻭﺎﻄﻨﻨﻳ ﻒﻘﻃ ﺎﻤﻠﺴﻤﯨ 
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﺖﻘﻨﻳ ﻎﺴﻴﻟ ﻚﯩﻟ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﻋﻼﺟ ﻻﺮﻋﺎﻳﺓ ﻼﺘﻨﻔﺴﻳﺓ ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,"ﻢﺳﺎﻋﺩ ﺎﺨﺻﺎﻴﺋ ﺥﺪﻣﺓ ﺎﺠﺗﺎﻤﻌﻳﺓ
ﻞﻠﻣﻭﺎﻄﻨﻨﻳ ﻒﻘﻃ ﺎﻤﻠﺴﻤﯨ 
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻊﻠﻣ
ﻼﻨﻔﺳ ﺃﻭ ﺐﻛﻻﻭﺮﻳﻮﺳ ﻼﻠﻏﺎﺗ","ﻢﻋﻼﺟ ﻼﻨﻄﻗ  ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,"ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﺎﻤﻠﺟﻻ ﻼﻄﺒﻳ +
ﺶﻫﺍﺩﺓ ﻲﻓ ﻢﺟﻻ ﻼﺴﻣﻮﻣ","ﺖﻘﻨﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ  ﺎﻤﻠﺴﻤﯨ
ﻼﺳﺎﺒﻗ)ﻒﻨﻳ ﻂﺑ ﻢﺒﺗﺪﺋ("
,,ﺲﻧﺓ,ﺐﻛﻻﻭﺮﻳﻮﺳ ﻲﻓ ﻢﺟﻻ ﻼﺘﺨﺼﺻ,ﺖﻘﻨﻳ ﻉﻼﺟ ﻂﺒﻴﻌﻳ
"4,235","4,600",-,-,"ﻥﺎﺌﺑ ﺮﺌﻴﺳ ﻪﻴﺋﺓ
ﻼﺘﻣﺮﻴﺿ"
"2,163","3,400",-,-,ﻢﺳﺎﻋﺩ ﺮﺌﻴﺳ ﻪﻴﺋﺓ ﻼﺘﻣﺮﻴﺿ
783,"1,600",-,-,ﻒﻨﻳ ﻢﺳﺅﻮﻟ ﺃﻮﻟ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻒﻨﻳ ﺖﺧﺪﻳﺭ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻢﺳﺎﻋﺩ ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﺄﺸﻋﺓ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻻﺮﻨﻨﻳ ﺎﻤﻠﻐﻧﺎﻄﻴﻴﺳ",ﺖﻘﻨﻳ ﻻﺮﻨﻨﻳ ﺎﻤﻠﻐﻧﺎﻄﻴﻴﺳ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﻄﺑ ﻼﻧﻭﻮﻳ",ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ
,,ﻉﺮﺷ ﺲﻧﻭﺎﺗ,"ﺪﺒﻟﻮﻣ ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﻲﻓ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ",ﻢﻋﻼﺟ ﻮﻈﻴﻔﻳ
